"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-01","60",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-02","60",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-03","62",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-04","63",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-05","67",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-06","64",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-07","64",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-08","60",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-09","61",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-10","60",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-11","62",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-12","65",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-13","64",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-14","65",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-15","65",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-16","64",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-17","65",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-18","65",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-19","66",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-20","67",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-21","69","84","54"
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-22","75",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-23","70",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-24","63","81",
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-25","63",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-26","64",,"47"
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-27","65",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-28","64",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-29","66",,
"PKM00041780","JINNAH INTERNATIONAL, PK","2021-01-30","67",,
